,isocode,educ,rank_educ,country
486,DZA,54.25557327270508,84,Algeria
487,ECU,53.103553771972656,90,Ecuador
488,EGY,51.88605880737305,99,Egypt
489,ESP,72.16819763183594,22,Spain
490,EST,67.21166229248047,31,Estonia
491,ETH,38.023773193359375,125,Ethiopia
492,FIN,77.91886138916016,10,Finland
493,FRA,74.01972198486328,18,France
494,GAB,48.73869705200195,103,Gabon
495,GBR,76.473388671875,14,United Kingdom
496,GEO,59.57577133178711,64,Georgia
497,GHA,45.02218246459961,111,Ghana
498,GIN,19.21413803100586,147,Guinea
499,GRC,59.98240661621094,60,Greece
500,GTM,49.06467056274414,102,Guatemala
501,GUY,52.15185928344727,98,Guyana
502,HKG,73.04068756103516,21,Hong Kong
503,HND,52.69621658325195,93,Honduras
504,HRV,64.9129409790039,36,Croatia
505,HUN,65.11766052246094,35,Hungary
506,IDN,56.343875885009766,73,Indonesia
507,IND,48.63681411743164,104,India
508,IRL,78.76566314697266,7,Ireland
509,IRN,56.02315139770508,76,Iran
510,IRQ,37.84450149536133,126,Iraq
511,ISL,67.85619354248047,28,Iceland
512,ISR,73.63219451904297,20,Israel
513,ITA,71.27786254882812,23,Italy
514,JAM,54.51205825805664,80,Jamaica
515,JOR,55.52012252807617,78,Jordan
516,JPN,73.87687683105469,19,Japan
517,KAZ,64.03883361816406,39,Kazakhstan
518,KEN,47.64271545410156,108,Kenya
519,KGZ,58.46490859985352,68,Kyrgyzstan
520,KHM,53.30618667602539,89,Cambodia
521,KOR,74.89749908447266,17,South Korea
522,KWT,53.62351989746094,87,Kuwait
523,LAO,47.67689895629883,107,Laos
524,LBN,52.45293426513672,96,Lebanon
525,LBR,26.034597396850582,142,Liberia
526,LBY,46.73084259033203,110,Libya
527,LKA,60.44157028198242,52,Sri Lanka
528,LSO,40.71504974365234,118,Lesotho
529,LTU,61.60277557373047,47,Lithuania
530,LUX,67.40126037597656,30,Luxembourg
531,LVA,63.32609558105469,40,Latvia
532,MAR,41.061668395996094,117,Morocco
533,MDA,61.66902160644531,46,Moldova
534,MDG,34.34856414794922,129,Madagascar
535,MEX,60.13636016845703,58,Mexico
536,MKD,64.13695526123047,37,Macedonia
537,MLI,21.805191040039062,145,Mali
538,MLT,60.2330207824707,56,Malta
539,MNE,59.79783630371094,62,Montenegro
540,MNG,61.98686218261719,44,Mongolia
541,MOZ,31.678136825561523,132,Mozambique
542,MRT,31.35381317138672,133,Mauritania
543,MUS,59.786582946777344,63,Mauritius
544,MWI,40.18487548828125,120,Malawi
545,MYS,68.73146057128906,26,Malaysia
546,NAM,44.85313034057617,112,Namibia
547,NER,15.672731399536133,149,Niger
548,NGA,39.85300827026367,121,Nigeria
549,NIC,48.33320617675781,105,Nicaragua
550,NLD,82.4352798461914,1,Netherlands
551,NOR,78.98235321044922,6,Norway
552,NPL,38.797019958496094,123,Nepal
553,NZL,75.63349914550781,16,New Zealand
554,OMN,54.65885925292969,79,Oman
555,PAK,36.034950256347656,127,Pakistan
556,PAN,59.28997421264648,66,Panama
557,PER,52.68480682373047,94,Peru
558,PHL,57.73533630371094,70,Philippines
559,POL,65.8359146118164,32,Poland
560,PRT,60.306941986083984,53,Portugal
561,PRY,52.50724029541016,95,Paraguay
562,QAT,53.05813980102539,91,Qatar
563,ROU,60.80170440673828,50,Romania
564,RUS,68.38710021972656,27,Russia
565,RWA,40.61326599121094,119,Rwanda
566,SAU,53.70637130737305,86,Saudi Arabia
567,SCG,63.08590698242188,41,Serbia
568,SDN,27.21084976196289,138,Sudan
569,SEN,33.64952087402344,130,Senegal
570,SGP,79.04427337646484,5,Singapore
571,SLE,25.678783416748047,143,Sierra Leone
572,SLV,52.69715118408203,92,El Salvador
573,SUR,59.41100311279297,65,Suriname
574,SVK,67.77617645263672,29,Slovakia
575,SVN,69.32821655273438,25,Slovenia
576,SWE,78.67622375488281,8,Sweden
577,SWZ,48.22182846069336,106,Swaziland
578,TCD,21.307233810424805,146,Chad
579,TGO,29.23669815063477,135,Togo
580,THA,60.29245376586914,54,Thailand
581,TJK,60.13361740112305,59,Tajikistan
582,TTO,60.19681167602539,57,Trinidad and Tobago
583,TUN,54.48155975341797,81,Tunisia
584,TUR,55.57749938964844,77,Turkey
585,TZA,43.22458267211914,115,Tanzania
586,UGA,41.141883850097656,116,Uganda
587,UKR,60.609413146972656,51,Ukraine
588,URY,58.0686149597168,69,Uruguay
589,USA,79.22664642333984,4,United States
590,VEN,54.38053131103516,82,Venezuela
591,VNM,60.238380432128906,55,Vietnam
592,YEM,26.591331481933597,140,Yemen
593,ZAF,56.12910461425781,75,South Africa
594,ZMB,44.66630935668945,113,Zambia
595,ZWE,47.04499435424805,109,Zimbabwe
596,AFG,23.965412139892575,144,Afghanistan
597,AGO,34.44402313232422,128,Angola
598,ALB,56.899024963378906,71,Albania
599,ARE,59.12009048461914,66,United Arab Emirates
600,ARG,55.07232666015625,81,Argentina
601,ARM,59.97067260742188,61,Armenia
602,AUS,79.54451751708984,3,Australia
603,AUT,75.80766296386719,15,Austria
604,AZE,62.105899810791016,46,Azerbaijan
605,BDI,31.42018699645996,132,Burundi
606,BEL,77.84952545166016,10,Belgium
