,isocode,heal,rank_heal,country
794,GEO,68.87869262695311,91,Georgia
795,GHA,61.63653182983398,116,Ghana
796,GIN,50.28446960449219,147,Guinea
797,GRC,76.99095916748047,39,Greece
798,GTM,69.77149200439453,85,Guatemala
799,GUY,69.12893676757811,90,Guyana
800,HKG,81.60783386230469,8,Hong Kong
801,HND,71.36764526367188,74,Honduras
802,HRV,74.95864868164062,50,Croatia
803,HUN,73.63475036621094,61,Hungary
804,IDN,70.03109741210939,83,Indonesia
805,IND,61.41786575317383,117,India
806,IRL,78.91802215576172,30,Ireland
807,IRN,69.75104522705078,86,Iran
808,IRQ,60.28070449829102,119,Iraq
809,ISL,81.1651611328125,12,Iceland
810,ISR,79.23979949951172,27,Israel
811,ITA,77.92279815673828,34,Italy
812,JAM,74.54712677001953,54,Jamaica
813,JOR,74.80815887451172,51,Jordan
814,JPN,84.2926025390625,3,Japan
815,KAZ,70.04812622070311,82,Kazakhstan
816,KEN,60.248023986816406,120,Kenya
817,KGZ,71.14202117919922,75,Kyrgyzstan
818,KHM,66.03134155273439,101,Cambodia
819,KOR,81.00230407714844,14,South Korea
820,KWT,79.70308685302734,23,Kuwait
821,LAO,64.99673461914061,106,Laos
822,LBN,68.85438537597656,92,Lebanon
823,LBR,55.04706954956055,139,Liberia
824,LBY,74.20511627197266,57,Libya
825,LKA,76.99624633789062,38,Sri Lanka
826,LSO,60.21661758422852,121,Lesotho
827,LTU,70.72349548339844,78,Lithuania
828,LUX,84.50694274902344,1,Luxembourg
829,LVA,70.08413696289061,81,Latvia
830,MAR,69.63227844238281,88,Morocco
831,MDA,65.90027618408203,103,Moldova
832,MDG,53.920166015625,143,Madagascar
833,MEX,75.96040344238281,44,Mexico
834,MKD,71.39850616455078,73,Macedonia
835,MLI,57.85260009765625,132,Mali
836,MLT,79.21569061279297,28,Malta
837,MNE,72.4173583984375,70,Montenegro
838,MNG,69.15525054931639,89,Mongolia
839,MOZ,53.7891616821289,144,Mozambique
840,MRT,61.65657806396485,115,Mauritania
841,MUS,75.24726104736328,49,Mauritius
842,MWI,65.48094940185547,104,Malawi
843,MYS,79.30514526367188,25,Malaysia
844,NAM,64.69939422607422,107,Namibia
845,NER,56.78756713867188,133,Niger
846,NGA,50.68892288208008,146,Nigeria
847,NIC,72.8575439453125,66,Nicaragua
848,NLD,82.33435821533203,6,Netherlands
849,NOR,80.90522766113281,15,Norway
850,NPL,63.0176010131836,113,Nepal
851,NZL,81.09961700439453,13,New Zealand
852,OMN,79.28689575195312,26,Oman
853,PAK,58.22400283813477,129,Pakistan
854,PAN,74.77571105957031,53,Panama
855,PER,69.64090728759766,87,Peru
856,PHL,67.80002593994139,99,Philippines
857,POL,74.52992248535156,55,Poland
858,PRT,76.1715087890625,40,Portugal
859,PRY,75.752685546875,47,Paraguay
860,QAT,80.39672088623047,19,Qatar
861,ROU,68.51845550537111,95,Romania
862,RUS,65.94635772705078,102,Russia
863,RWA,71.7192153930664,72,Rwanda
864,SAU,75.81591796875,46,Saudi Arabia
865,SCG,68.67137908935547,94,Serbia
866,SDN,58.14788436889648,130,Sudan
867,SEN,63.95036697387695,109,Senegal
868,SGP,83.76201629638672,4,Singapore
869,SLE,54.0116081237793,142,Sierra Leone
870,SLV,73.01953887939453,65,El Salvador
871,SUR,72.69042205810547,68,Suriname
872,SVK,76.05022430419922,43,Slovakia
873,SVN,78.13776397705078,32,Slovenia
874,SWE,83.1522445678711,5,Sweden
875,SWZ,63.02907943725586,112,Swaziland
876,TCD,47.79149627685547,148,Chad
877,TGO,52.32201385498047,145,Togo
878,THA,80.05549621582031,21,Thailand
879,TJK,70.80213165283203,77,Tajikistan
880,TTO,72.8512191772461,67,Trinidad and Tobago
881,TUN,70.48902130126953,80,Tunisia
882,TUR,74.7984848022461,52,Turkey
883,TZA,57.96123886108398,131,Tanzania
884,UGA,56.47435760498047,134,Uganda
885,UKR,63.657508850097656,110,Ukraine
886,URY,77.71273803710938,36,Uruguay
887,USA,78.99473571777344,29,United States
888,VEN,74.38311767578125,56,Venezuela
889,VNM,72.44261169433594,69,Vietnam
890,YEM,58.5172348022461,127,Yemen
891,ZAF,58.4737777709961,128,South Africa
892,ZMB,58.71385192871094,126,Zambia
893,ZWE,64.18447875976561,108,Zimbabwe
894,AFG,55.351318359375,135,Afghanistan
895,AGO,60.39255905151367,117,Angola
896,ALB,75.15880584716797,49,Albania
897,ARE,79.74430847167969,23,United Arab Emirates
898,ARG,76.07350158691406,43,Argentina
899,ARM,67.83511352539061,99,Armenia
900,AUS,82.0610580444336,7,Australia
901,AUT,79.9410171508789,21,Austria
902,AZE,69.71345520019531,85,Azerbaijan
903,BDI,64.11244201660156,107,Burundi
904,BEL,81.83576202392578,8,Belgium
905,BEN,53.75073623657226,142,Benin
906,BFA,59.04194259643555,123,Burkina Faso
907,BGD,66.97989654541016,102,Bangladesh
908,BGR,68.99690246582031,89,Bulgaria
909,BHR,79.73094177246094,24,Bahrain
910,BLR,69.39208984375,87,Belarus
911,BLZ,73.27424621582031,64,Belize
912,BOL,65.69918060302734,105,Bolivia
913,BRA,71.64044189453125,72,Brazil
914,BWA,68.72361755371094,94,Botswana
915,CAF,42.49295425415039,149,Central African Republic
