,isocode,heal,rank_heal,country
67,JAM,72.49722290039062,64,Jamaica
68,JOR,74.90545654296875,43,Jordan
69,JPN,83.8884506225586,3,Japan
70,KAZ,67.2337646484375,95,Kazakhstan
71,KEN,58.95413208007813,117,Kenya
72,KGZ,69.94008636474611,77,Kyrgyzstan
73,KHM,60.867149353027344,114,Cambodia
74,KOR,77.68737030029297,32,South Korea
75,KWT,77.24714660644531,36,Kuwait
76,LAO,60.9898910522461,112,Laos
77,LBN,69.75592803955078,79,Lebanon
78,LBR,50.90652084350586,143,Liberia
79,LBY,74.35469818115234,49,Libya
80,LKA,75.07901763916016,42,Sri Lanka
81,LSO,57.28805160522461,127,Lesotho
82,LTU,67.43194580078125,94,Lithuania
83,LUX,84.00080108642578,2,Luxembourg
84,LVA,68.02362060546875,88,Latvia
85,MAR,67.71144866943361,91,Morocco
86,MDA,63.9920539855957,100,Moldova
87,MDG,58.36042022705078,120,Madagascar
88,MEX,73.36956024169922,58,Mexico
89,MKD,70.79279327392578,72,Macedonia
90,MLI,55.934547424316406,130,Mali
91,MLT,74.49853515625,46,Malta
92,MNE,71.94242095947266,69,Montenegro
93,MNG,68.50121307373047,87,Mongolia
94,MOZ,54.68153381347656,131,Mozambique
95,MRT,57.33353042602539,126,Mauritania
96,MUS,74.60076141357422,44,Mauritius
97,MWI,61.290794372558594,111,Malawi
98,MYS,78.09380340576172,29,Malaysia
99,NAM,63.007362365722656,108,Namibia
100,NER,53.15585327148438,137,Niger
101,NGA,50.04842758178711,144,Nigeria
102,NIC,70.26712036132811,76,Nicaragua
103,NLD,81.33692169189453,9,Netherlands
104,NOR,80.62454223632812,12,Norway
105,NPL,62.34112548828125,110,Nepal
106,NZL,78.73135375976562,20,New Zealand
107,OMN,78.2685775756836,27,Oman
108,PAK,58.980224609375,116,Pakistan
109,PAN,73.67328643798828,55,Panama
110,PER,69.26854705810547,80,Peru
111,PHL,67.12624359130861,96,Philippines
112,POL,74.08261108398438,51,Poland
113,PRT,76.06928253173828,40,Portugal
114,PRY,73.01136016845703,59,Paraguay
115,QAT,79.3657455444336,18,Qatar
116,ROU,68.93157958984375,82,Romania
117,RUS,63.759986877441406,102,Russia
118,RWA,67.51461029052734,93,Rwanda
119,SAU,76.25630187988281,38,Saudi Arabia
120,SCG,70.38722229003906,75,Serbia
121,SDN,58.5658073425293,119,Sudan
122,SEN,63.26657104492188,107,Senegal
123,SGP,84.31001281738281,1,Singapore
124,SLE,48.92345428466797,146,Sierra Leone
125,SLV,73.6579360961914,56,El Salvador
126,SUR,73.85162353515625,54,Suriname
127,SVK,75.31011962890625,41,Slovakia
128,SVN,76.69380950927734,37,Slovenia
129,SWE,81.34333038330078,8,Sweden
130,SWZ,63.35442733764648,106,Swaziland
131,TCD,40.26126098632813,149,Chad
132,TGO,51.95242691040039,139,Togo
133,THA,78.94110107421875,19,Thailand
134,TJK,67.97936248779297,89,Tajikistan
135,TTO,72.01976776123047,68,Trinidad and Tobago
136,TUN,72.62261962890625,62,Tunisia
137,TUR,73.50901794433594,57,Turkey
138,TZA,56.04612731933594,129,Tanzania
139,UGA,54.30148696899414,135,Uganda
140,UKR,65.77876281738281,98,Ukraine
141,URY,76.1252212524414,39,Uruguay
142,USA,78.65673065185547,21,United States
143,VEN,71.87862396240234,70,Venezuela
144,VNM,68.90113067626953,85,Vietnam
145,YEM,58.33677673339844,121,Yemen
146,ZAF,53.30916213989258,136,South Africa
147,ZMB,57.86145782470703,124,Zambia
148,ZWE,54.63358688354492,132,Zimbabwe
149,AFG,52.24007415771485,141,Afghanistan
150,AGO,56.99851608276367,126,Angola
151,ALB,74.5724105834961,49,Albania
152,ARE,77.9898910522461,31,United Arab Emirates
153,ARG,74.15382385253906,52,Argentina
154,ARM,68.34123229980469,91,Armenia
155,AUS,80.97697448730469,10,Australia
156,AUT,79.98390197753906,15,Austria
157,AZE,65.62593841552734,100,Azerbaijan
158,BDI,59.87138748168945,117,Burundi
159,BEL,80.77904510498047,12,Belgium
160,BEN,53.59107208251953,136,Benin
161,BFA,60.21141815185547,116,Burkina Faso
162,BGD,66.75814056396484,98,Bangladesh
163,BGR,69.18264007568361,85,Bulgaria
164,BHR,77.88188171386719,33,Bahrain
165,BLR,68.41506195068361,89,Belarus
166,BLZ,72.59400177001953,64,Belize
167,BOL,64.36894989013672,104,Bolivia
168,BRA,72.54397583007812,65,Brazil
169,BWA,69.35741424560547,82,Botswana
170,CAF,48.33172988891602,147,Central African Republic
171,CAN,80.66238403320312,13,Canada
172,CHE,82.9505386352539,4,Switzerland
173,CHL,75.2647933959961,43,Chile
174,CHN,74.89183807373047,45,China
175,CIV,52.29841613769531,140,Ivory Coast
176,CMR,58.38467407226562,122,Cameroon
177,COD,48.90432739257813,146,Democratic Republic of Congo
178,COG,53.09967422485352,139,Congo
179,COL,73.04507446289062,62,Colombia
180,COM,56.527626037597656,129,Comoros
181,CRI,77.23345947265625,36,Costa Rica
182,CYP,77.94853973388672,32,Cyprus
183,CZE,77.56803894042969,34,Czech Republic
184,DEU,80.9707260131836,11,Germany
185,DJI,62.38030242919922,109,Djibouti
186,DNK,79.25993347167969,22,Denmark
187,DOM,69.45570373535156,81,Dominican Republic
188,DZA,71.75083923339844,70,Algeria
189,ECU,74.47762298583984,50,Ecuador
190,EGY,65.71581268310547,99,Egypt
191,ESP,79.9490966796875,16,Spain
192,EST,71.83528900146484,69,Estonia
193,ETH,52.169334411621094,142,Ethiopia
194,FIN,79.63887023925781,17,Finland
195,FRA,80.49747467041016,14,France
196,GAB,58.01522827148438,123,Gabon
197,GBR,79.23821258544922,23,United Kingdom
198,GEO,69.34820556640625,83,Georgia
199,GHA,61.82516860961914,112,Ghana
200,GIN,48.10975646972656,148,Guinea
201,GRC,78.95249938964844,25,Greece
202,GTM,71.73787689208984,71,Guatemala
203,GUY,68.45981597900389,88,Guyana
204,HKG,81.55661010742188,7,Hong Kong
205,HND,72.38243103027344,66,Honduras
206,HRV,74.63298034667969,47,Croatia
207,HUN,74.6620864868164,46,Hungary
208,IDN,67.21860504150389,97,Indonesia
209,IND,58.614601135253906,120,India
210,IRL,79.14898681640625,24,Ireland
211,IRN,71.4253158569336,73,Iran
212,IRQ,60.4743537902832,115,Iraq
213,ISL,83.3572769165039,2,Iceland
214,ISR,79.28064727783203,21,Israel
215,ITA,78.32390594482422,28,Italy
216,JAM,73.6780776977539,58,Jamaica
217,JOR,73.95831298828125,55,Jordan
218,JPN,82.15328216552734,5,Japan
219,KAZ,68.67410278320311,87,Kazakhstan
220,KEN,61.40183639526367,113,Kenya
221,KGZ,70.53363800048828,77,Kyrgyzstan
222,KHM,62.74421310424805,107,Cambodia
223,KOR,78.17867279052734,29,South Korea
224,KWT,77.26728057861328,35,Kuwait
225,LAO,62.33549118041992,111,Laos
226,LBN,69.86137390136719,79,Lebanon
227,LBR,54.52536392211914,133,Liberia
228,LBY,74.34862518310547,51,Libya
229,LKA,75.94512939453125,40,Sri Lanka
230,LSO,57.39576721191406,125,Lesotho
231,LTU,68.04240417480469,93,Lithuania
232,LUX,84.22332763671875,1,Luxembourg
233,LVA,69.60003662109375,80,Latvia
234,MAR,68.38786315917969,90,Morocco
235,MDA,64.61774444580078,102,Moldova
236,MDG,56.58595657348633,128,Madagascar
237,MEX,74.90442657470703,44,Mexico
238,MKD,71.4316635131836,72,Macedonia
239,MLI,56.62575912475586,127,Mali
240,MLT,74.15165710449219,53,Malta
241,MNE,73.04528045654297,61,Montenegro
242,MNG,67.7347412109375,94,Mongolia
243,MOZ,54.45515060424805,135,Mozambique
244,MRT,57.65007781982422,124,Mauritania
245,MUS,74.62881469726562,48,Mauritius
246,MWI,62.60841369628906,108,Malawi
247,MYS,78.02201080322266,30,Malaysia
248,NAM,63.42275619506836,106,Namibia
249,NER,54.488037109375,134,Niger
250,NGA,50.9448471069336,144,Nigeria
251,NIC,71.41957092285156,74,Nicaragua
252,NLD,81.48846435546875,8,Netherlands
253,NOR,81.06028747558594,9,Norway
254,NPL,62.3603630065918,110,Nepal
255,NZL,79.350341796875,20,New Zealand
256,OMN,78.52435302734375,26,Oman
257,PAK,56.44036102294922,130,Pakistan
258,PAN,73.51871490478516,59,Panama
259,PER,69.28742980957031,84,Peru
260,PHL,68.32836151123047,92,Philippines
261,POL,73.75177001953125,57,Poland
262,PRT,76.45614624023438,38,Portugal
263,PRY,71.9227294921875,67,Paraguay
264,QAT,78.49710845947266,27,Qatar
265,ROU,68.94338226318361,86,Romania
266,RUS,64.76580047607422,101,Russia
267,RWA,67.66802215576172,95,Rwanda
268,SAU,75.60150146484375,41,Saudi Arabia
269,SCG,70.40096282958984,78,Serbia
270,SDN,58.82043075561523,119,Sudan
271,SEN,60.81889724731445,114,Senegal
272,SGP,83.1338119506836,3,Singapore
273,SLE,49.64925003051758,145,Sierra Leone
274,SLV,73.10386657714844,60,El Salvador
275,SUR,74.08899688720703,54,Suriname
276,SVK,75.49339294433594,42,Slovakia
277,SVN,76.88829803466797,37,Slovenia
278,SWE,81.96170043945312,6,Sweden
279,SWZ,63.61251449584961,105,Swaziland
280,TCD,41.1772575378418,149,Chad
281,TGO,51.134681701660156,143,Togo
282,THA,79.47254943847656,18,Thailand
283,TJK,67.65318298339844,96,Tajikistan
284,TTO,71.89912414550781,68,Trinidad and Tobago
285,TUN,72.79544830322266,63,Tunisia
286,TUR,73.93282318115234,56,Turkey
287,TZA,56.101905822753906,131,Tanzania
288,UGA,53.29865646362305,137,Uganda
289,UKR,64.57143402099611,103,Ukraine
290,URY,76.33052825927734,39,Uruguay
291,USA,79.35816955566406,19,United States
292,VEN,70.64158630371094,75,Venezuela
293,VNM,70.60892486572266,76,Vietnam
294,YEM,58.43445587158203,121,Yemen
295,ZAF,53.29024124145508,138,South Africa
296,ZMB,59.53357315063477,118,Zambia
297,ZWE,55.13323974609375,132,Zimbabwe
298,AFG,53.30316543579102,140,Afghanistan
299,AGO,56.17512893676758,130,Angola
300,ALB,74.61124420166016,51,Albania
301,ARE,78.32972717285156,29,United Arab Emirates
302,ARG,76.56415557861328,39,Argentina
303,ARM,67.86096954345703,93,Armenia
304,AUS,81.36172485351562,9,Australia
305,AUT,79.38566589355469,22,Austria
306,AZE,66.26577758789061,101,Azerbaijan
307,BDI,62.15548706054688,110,Burundi
308,BEL,81.25670623779297,10,Belgium
309,BEN,54.622154235839844,136,Benin
310,BFA,60.28289794921875,116,Burkina Faso
311,BGD,66.64332580566406,100,Bangladesh
312,BGR,69.37877655029297,87,Bulgaria
313,BHR,77.93274688720703,33,Bahrain
314,BLR,67.676513671875,95,Belarus
315,BLZ,73.08808135986328,63,Belize
316,BOL,65.85683441162111,102,Bolivia
317,BRA,71.93482208251953,71,Brazil
318,BWA,69.82515716552734,85,Botswana
319,CAF,47.97013854980469,147,Central African Republic
320,CAN,80.61620330810547,13,Canada
321,CHE,83.20677185058594,3,Switzerland
322,CHL,75.28202819824219,43,Chile
323,CHN,74.95780181884766,48,China
324,CIV,53.55923080444336,138,Ivory Coast
325,CMR,58.15019607543945,122,Cameroon
326,COD,50.60784912109375,146,Democratic Republic of Congo
327,COG,52.604347229003906,143,Congo
328,COL,74.06777954101562,58,Colombia
329,COM,57.178993225097656,125,Comoros
330,CRI,77.32966613769531,35,Costa Rica
331,CYP,78.53689575195312,27,Cyprus
332,CZE,77.65086364746094,34,Czech Republic
333,DEU,81.17115020751953,11,Germany
334,DJI,63.5415153503418,107,Djibouti
335,DNK,78.01696014404297,32,Denmark
336,DOM,70.61715698242188,80,Dominican Republic
337,DZA,72.4391860961914,68,Algeria
338,ECU,74.1675796508789,57,Ecuador
339,EGY,70.87928771972656,78,Egypt
340,ESP,80.36238861083984,14,Spain
341,EST,72.28128051757812,70,Estonia
342,ETH,53.41529083251953,139,Ethiopia
343,FIN,79.89371490478516,17,Finland
344,FRA,80.30619049072266,15,France
345,GAB,57.106422424316406,126,Gabon
346,GBR,79.86895751953125,18,United Kingdom
347,GEO,67.23296356201172,98,Georgia
348,GHA,60.383338928222656,114,Ghana
349,GIN,47.78674697875977,148,Guinea
350,GRC,78.07525634765625,31,Greece
351,GTM,71.11598205566406,76,Guatemala
352,GUY,69.94724273681639,84,Guyana
353,HKG,82.35880279541016,7,Hong Kong
354,HND,73.38623046875,62,Honduras
355,HRV,73.97441101074219,59,Croatia
356,HUN,74.79198455810547,49,Hungary
357,IDN,67.39396667480469,97,Indonesia
358,IND,60.03070449829102,117,India
359,IRL,78.4783935546875,28,Ireland
360,IRN,71.68226623535156,73,Iran
361,IRQ,62.13320922851562,112,Iraq
362,ISL,82.76515197753906,5,Iceland
363,ISR,79.77879333496094,19,Israel
364,ITA,79.7316665649414,20,Italy
365,JAM,72.96365356445312,64,Jamaica
366,JOR,75.39661407470703,42,Jordan
367,JPN,82.80128479003906,4,Japan
368,KAZ,69.53360748291016,86,Kazakhstan
369,KEN,59.40199661254883,119,Kenya
370,KGZ,71.06277465820312,77,Kyrgyzstan
371,KHM,66.77438354492189,99,Cambodia
372,KOR,78.90544128417969,24,South Korea
373,KWT,76.990966796875,37,Kuwait
374,LAO,64.09131622314453,104,Laos
375,LBN,70.11670684814453,82,Lebanon
376,LBR,56.02517700195313,132,Liberia
377,LBY,74.31974029541016,56,Libya
378,LKA,74.42048645019531,54,Sri Lanka
379,LSO,58.32855606079102,121,Lesotho
380,LTU,69.2147216796875,88,Lithuania
381,LUX,84.24256896972656,1,Luxembourg
382,LVA,67.68601989746094,94,Latvia
383,MAR,68.75336456298828,90,Morocco
384,MDA,63.34923934936523,108,Moldova
385,MDG,55.95074844360352,133,Madagascar
386,MEX,74.98567199707031,47,Mexico
387,MKD,71.80158233642578,72,Macedonia
388,MLI,56.40283966064453,128,Mali
389,MLT,74.77938842773438,50,Malta
390,MNE,72.39484405517578,69,Montenegro
391,MNG,67.47145080566406,96,Mongolia
392,MOZ,54.81227493286133,135,Mozambique
393,MRT,56.11182403564453,131,Mauritania
394,MUS,74.99015808105469,46,Mauritius
395,MWI,63.07045364379883,109,Malawi
396,MYS,78.28895568847656,30,Malaysia
397,NAM,64.00736236572266,105,Namibia
398,NER,55.85652160644531,134,Niger
399,NGA,53.17573547363281,141,Nigeria
400,NIC,71.65630340576172,74,Nicaragua
401,NLD,81.63175964355469,8,Netherlands
402,NOR,81.16513061523438,12,Norway
403,NPL,62.15011596679688,111,Nepal
404,NZL,80.1046142578125,16,New Zealand
405,OMN,78.66677856445312,25,Oman
406,PAK,56.32139587402344,129,Pakistan
407,PAN,74.99646759033203,45,Panama
408,PER,70.78067779541016,79,Peru
409,PHL,68.48795318603516,91,Philippines
410,POL,74.56047821044922,52,Poland
411,PRT,76.13720703125,40,Portugal
412,PRY,73.77039337158203,60,Paraguay
413,QAT,79.50576782226562,21,Qatar
414,ROU,68.96123504638672,89,Romania
415,RUS,64.53586578369139,103,Russia
416,RWA,70.02769470214844,83,Rwanda
417,SAU,74.3275375366211,55,Saudi Arabia
418,SCG,70.28636169433594,81,Serbia
419,SDN,58.66146850585938,120,Sudan
420,SEN,59.64844131469727,118,Senegal
421,SGP,83.71753692626953,2,Singapore
422,SLE,51.288307189941406,144,Sierra Leone
423,SLV,72.74210357666016,67,El Salvador
424,SUR,74.51937866210938,53,Suriname
425,SVK,75.64971923828125,41,Slovakia
426,SVN,76.88981628417969,38,Slovenia
427,SWE,82.51876831054688,6,Sweden
428,SWZ,63.75110626220703,106,Swaziland
429,TCD,41.272926330566406,149,Chad
430,TGO,51.2474250793457,145,Togo
431,THA,78.99199676513672,23,Thailand
432,TJK,67.90988159179689,92,Tajikistan
433,TTO,72.74593353271484,66,Trinidad and Tobago
434,TUN,72.86268615722656,65,Tunisia
435,TUR,73.64522552490234,61,Turkey
436,TZA,57.307899475097656,124,Tanzania
437,UGA,53.02488708496094,142,Uganda
438,UKR,61.49744415283203,113,Ukraine
439,URY,77.15406799316406,36,Uruguay
440,USA,78.5512466430664,26,United States
441,VEN,75.07682800292969,44,Venezuela
442,VNM,71.32867431640625,75,Vietnam
443,YEM,57.98633575439453,123,Yemen
444,ZAF,54.40169143676758,137,South Africa
445,ZMB,60.30132293701172,115,Zambia
446,ZWE,57.09291076660156,127,Zimbabwe
447,AFG,54.23199462890625,138,Afghanistan
448,AGO,59.91407775878906,120,Angola
449,ALB,75.76069641113281,41,Albania
450,ARE,78.64933013916016,28,United Arab Emirates
451,ARG,76.3084716796875,38,Argentina
452,ARM,67.59421539306639,97,Armenia
453,AUS,81.66010284423828,10,Australia
454,AUT,79.78900146484375,20,Austria
455,AZE,65.32024383544922,103,Azerbaijan
456,BDI,62.57312774658203,110,Burundi
457,BEL,81.55469512939453,11,Belgium
458,BEN,54.10266494750977,139,Benin
459,BFA,59.40068817138672,121,Burkina Faso
460,BGD,65.60443115234375,100,Bangladesh
461,BGR,69.8797607421875,85,Bulgaria
462,BHR,75.51052856445312,44,Bahrain
463,BLR,68.43458557128906,92,Belarus
464,BLZ,73.14984130859375,63,Belize
465,BOL,64.28802490234375,105,Bolivia
466,BRA,72.64830780029297,67,Brazil
467,BWA,69.50878143310547,86,Botswana
468,CAF,46.29765319824219,148,Central African Republic
469,CAN,81.21269226074219,12,Canada
470,CHE,83.07261657714844,4,Switzerland
471,CHL,74.28389739990234,57,Chile
472,CHN,74.86167907714844,50,China
473,CIV,54.38634872436523,137,Ivory Coast
474,CMR,59.02064895629883,123,Cameroon
475,COD,49.71459197998047,146,Democratic Republic of Congo
476,COG,53.64462280273438,140,Congo
477,COL,72.96604919433594,64,Colombia
478,COM,56.189613342285156,132,Comoros
479,CRI,77.38854217529297,33,Costa Rica
480,CYP,78.99683380126953,26,Cyprus
481,CZE,77.3128662109375,36,Czech Republic
482,DEU,81.80007934570312,9,Germany
483,DJI,64.09943389892578,107,Djibouti
484,DNK,79.2532958984375,25,Denmark
485,DOM,71.22594451904297,76,Dominican Republic
486,DZA,72.80282592773438,65,Algeria
487,ECU,74.11388397216797,60,Ecuador
488,EGY,70.23603820800781,82,Egypt
489,ESP,80.44196319580078,17,Spain
490,EST,72.58670043945312,68,Estonia
491,ETH,54.54098129272461,136,Ethiopia
492,FIN,79.40751647949219,23,Finland
493,FRA,80.71099853515625,16,France
494,GAB,56.19890594482422,131,Gabon
495,GBR,81.07804107666016,14,United Kingdom
496,GEO,68.61156463623047,91,Georgia
497,GHA,61.86525344848633,113,Ghana
498,GIN,49.226806640625,147,Guinea
499,GRC,77.32785034179688,35,Greece
500,GTM,71.86419677734375,73,Guatemala
501,GUY,68.00936126708984,94,Guyana
502,HKG,82.12415313720703,7,Hong Kong
503,HND,72.51099395751953,70,Honduras
504,HRV,75.3453598022461,46,Croatia
505,HUN,75.27522277832031,47,Hungary
506,IDN,67.93144989013672,95,Indonesia
507,IND,60.66925430297852,117,India
508,IRL,79.53812408447266,21,Ireland
509,IRN,71.84576416015625,74,Iran
510,IRQ,61.54996871948242,115,Iraq
511,ISL,82.89765930175781,5,Iceland
512,ISR,78.05970001220703,30,Israel
513,ITA,78.9891586303711,27,Italy
514,JAM,74.07585144042969,61,Jamaica
515,JOR,75.38837432861328,45,Jordan
516,JPN,83.54208374023438,3,Japan
517,KAZ,70.55673217773438,78,Kazakhstan
518,KEN,61.31365966796875,116,Kenya
519,KGZ,70.43913269042969,80,Kyrgyzstan
520,KHM,64.52516174316406,104,Cambodia
521,KOR,80.97008514404297,15,South Korea
522,KWT,76.20955657958984,39,Kuwait
523,LAO,65.72928619384766,99,Laos
524,LBN,69.22139739990234,88,Lebanon
525,LBR,53.4128532409668,142,Liberia
526,LBY,74.28104400634766,58,Libya
527,LKA,74.73192596435547,52,Sri Lanka
528,LSO,59.15948104858398,122,Lesotho
529,LTU,69.29750061035156,87,Lithuania
530,LUX,84.58163452148438,1,Luxembourg
531,LVA,68.02634429931639,93,Latvia
532,MAR,68.89900207519531,90,Morocco
533,MDA,65.59120178222656,101,Moldova
534,MDG,55.63784408569336,133,Madagascar
535,MEX,74.62626647949219,53,Mexico
536,MKD,71.8011474609375,75,Macedonia
537,MLI,57.8023567199707,127,Mali
538,MLT,74.46420288085938,56,Malta
539,MNE,72.69514465332031,66,Montenegro
540,MNG,68.96498107910156,89,Mongolia
541,MOZ,55.15791702270508,134,Mozambique
542,MRT,58.32795333862305,124,Mauritania
543,MUS,75.19692993164062,48,Mauritius
544,MWI,63.55595397949219,109,Malawi
545,MYS,77.9088134765625,31,Malaysia
546,NAM,64.14689636230469,106,Namibia
547,NER,54.620384216308594,135,Niger
548,NGA,52.57842636108398,143,Nigeria
549,NIC,71.87720489501953,72,Nicaragua
550,NLD,82.03462982177734,8,Netherlands
551,NOR,81.13951110839844,13,Norway
552,NPL,61.74783706665039,114,Nepal
553,NZL,80.10824584960938,19,New Zealand
554,OMN,79.28097534179688,24,Oman
555,PAK,58.26032257080078,125,Pakistan
556,PAN,75.99742126464844,40,Panama
557,PER,70.66168975830078,77,Peru
558,PHL,66.90399932861328,98,Philippines
559,POL,74.76611328125,51,Poland
560,PRT,77.35755920410156,34,Portugal
561,PRY,74.53826141357422,55,Paraguay
562,QAT,80.1927719116211,18,Qatar
563,ROU,67.666748046875,96,Romania
564,RUS,65.35565948486328,102,Russia
565,RWA,70.29460906982422,81,Rwanda
566,SAU,74.54280853271484,54,Saudi Arabia
567,SCG,70.17594909667969,83,Serbia
568,SDN,59.937232971191406,119,Sudan
569,SEN,62.29830932617188,111,Senegal
570,SGP,84.29938507080078,2,Singapore
571,SLE,52.24300003051758,144,Sierra Leone
572,SLV,71.91531372070312,71,El Salvador
573,SUR,75.67878723144531,43,Suriname
574,SVK,75.69920349121094,42,Slovakia
575,SVN,77.72138977050781,32,Slovenia
576,SWE,82.53900909423828,6,Sweden
577,SWZ,63.98479461669922,108,Swaziland
578,TCD,43.52734375,149,Chad
579,TGO,52.08917999267578,145,Togo
580,THA,78.37904357910156,29,Thailand
581,TJK,70.03794097900389,84,Tajikistan
582,TTO,72.54129791259766,69,Trinidad and Tobago
583,TUN,75.14387512207031,49,Tunisia
584,TUR,74.1156005859375,59,Turkey
585,TZA,56.91384506225586,128,Tanzania
586,UGA,53.58341979980469,141,Uganda
587,UKR,56.74583435058594,129,Ukraine
588,URY,76.8489990234375,37,Uruguay
589,USA,79.44637298583984,22,United States
590,VEN,73.52976989746094,62,Venezuela
591,VNM,70.5390625,79,Vietnam
592,YEM,57.91751098632813,126,Yemen
593,ZAF,56.610923767089844,130,South Africa
594,ZMB,60.023521423339844,118,Zambia
595,ZWE,62.01740646362305,112,Zimbabwe
596,AFG,53.68797302246094,140,Afghanistan
597,AGO,59.09150695800781,122,Angola
598,ALB,76.48019409179688,39,Albania
599,ARE,79.00947570800781,29,United Arab Emirates
600,ARG,75.66695404052734,43,Argentina
601,ARM,65.85097503662111,103,Armenia
602,AUS,81.09361267089844,15,Australia
603,AUT,79.75975799560547,23,Austria
604,AZE,67.96088409423828,96,Azerbaijan
605,BDI,63.36586380004883,110,Burundi
606,BEL,82.56696319580078,6,Belgium
607,BEN,53.50262069702149,143,Benin
608,BFA,60.66801071166992,118,Burkina Faso
609,BGD,67.14057159423828,98,Bangladesh
610,BGR,69.63300323486328,88,Bulgaria
611,BHR,74.90251159667969,49,Bahrain
612,BLR,68.62326049804689,93,Belarus
613,BLZ,73.1124496459961,65,Belize
614,BOL,65.46525573730469,105,Bolivia
615,BRA,71.69410705566406,71,Brazil
616,BWA,70.30165100097656,85,Botswana
617,CAF,47.13670349121094,148,Central African Republic
618,CAN,80.85968780517578,17,Canada
619,CHE,83.6495132446289,2,Switzerland
620,CHL,74.29247283935547,55,Chile
621,CHN,75.94631958007812,41,China
622,CIV,49.93984985351562,146,Ivory Coast
623,CMR,58.27177810668945,127,Cameroon
624,COD,55.182861328125,138,Democratic Republic of Congo
625,COG,56.32123184204102,134,Congo
626,COL,72.20271301269531,69,Colombia
627,COM,58.781944274902344,124,Comoros
628,CRI,75.80132293701172,42,Costa Rica
629,CYP,78.59805297851562,30,Cyprus
630,CZE,77.55077362060547,36,Czech Republic
631,DEU,82.03216552734375,9,Germany
632,DJI,63.35440444946289,111,Djibouti
633,DNK,79.86298370361328,22,Denmark
634,DOM,71.00257873535156,77,Dominican Republic
635,DZA,73.51936340332031,61,Algeria
636,ECU,74.0728530883789,59,Ecuador
637,EGY,68.83587646484375,92,Egypt
638,ESP,80.6874771118164,18,Spain
639,EST,73.24861145019531,63,Estonia
640,ETH,55.64883804321289,135,Ethiopia
641,FIN,79.36133575439453,26,Finland
642,FRA,81.59169006347656,12,France
643,GAB,58.19641494750977,128,Gabon
644,GBR,81.76541137695312,11,United Kingdom
645,GEO,68.50510406494139,95,Georgia
