isocode,sub-region,sub-region-score,Year,Prosperity Growth
MNE,Southern Europe,0.25529253520662787,2008,0.6779191758897625
MNG,Eastern Asia,0.10904252794053804,2008,-0.5810301038954009
MOZ,Sub-Saharan Africa,0.1966062009358823,2008,-0.37141079372830177
MRT,Sub-Saharan Africa,0.1966062009358823,2008,-1.5212758382161482
MUS,Sub-Saharan Africa,0.1966062009358823,2008,0.2460933261447451
MWI,Sub-Saharan Africa,0.1966062009358823,2008,0.2085215250651018
MYS,South-eastern Asia,0.3039828027997696,2008,-0.2201491461859817
NAM,Sub-Saharan Africa,0.1966062009358823,2008,-0.25639597574869555
NER,Sub-Saharan Africa,0.1966062009358823,2008,-0.01153776380751026
NGA,Sub-Saharan Africa,0.1966062009358823,2008,-0.6373668246799085
NIC,Latin America and the Caribbean,0.19918489028372544,2008,-0.42238532172309107
NLD,Western Europe,0.15470879310383043,2008,-0.01323699951171875
NOR,Northern Europe,0.19307814704047296,2008,0.06928592258029198
NPL,Southern Asia,0.2417285253131201,2008,1.5654246012369768
NZL,Australia and New Zealand,0.0062095399886845015,2008,-0.544350518120666
OMN,Western Asia,0.11970141955784389,2008,0.3411750793457031
PAK,Southern Asia,0.2417285253131201,2008,-0.3458756340874558
PAN,Latin America and the Caribbean,0.19918489028372544,2008,0.19104639689128078
PER,Latin America and the Caribbean,0.19918489028372544,2008,0.09947628445095802
PHL,South-eastern Asia,0.3039828027997696,2008,0.7481083340114978
POL,Eastern Europe,0.266389516800169,2008,0.46736314561631787
PRT,Southern Europe,0.25529253520662787,2008,-0.10223007202148438
PRY,Latin America and the Caribbean,0.19918489028372544,2008,0.34816275702582544
QAT,Western Asia,0.11970141955784389,2008,0.056291368272567865
ROU,Eastern Europe,0.266389516800169,2008,0.2150476243760835
RUS,Eastern Europe,0.266389516800169,2008,0.4781451755099795
RWA,Sub-Saharan Africa,0.1966062009358823,2008,0.4353523254394531
SAU,Western Asia,0.11970141955784389,2008,-0.6063596937391509
SDN,Northern Africa,-0.17422699802136268,2008,-0.14261012607150292
SEN,Sub-Saharan Africa,0.1966062009358823,2008,-0.8977055019802549
SGP,South-eastern Asia,0.3039828027997696,2008,-0.8442675272623745
SLE,Sub-Saharan Africa,0.1966062009358823,2008,-0.836265140109596
SLV,Latin America and the Caribbean,0.19918489028372544,2008,-0.19444105360243213
SUR,Latin America and the Caribbean,0.19918489028372544,2008,0.4249534606933594
SVK,Eastern Europe,0.266389516800169,2008,0.30306752522785985
SVN,Southern Europe,0.25529253520662787,2008,0.8991105821397554
SWE,Northern Europe,0.19307814704047296,2008,0.2674967447916714
SWZ,Sub-Saharan Africa,0.1966062009358823,2008,0.0612640380859375
TCD,Sub-Saharan Africa,0.1966062009358823,2008,2.2870659298367
TGO,Sub-Saharan Africa,0.1966062009358823,2008,-0.17049874199761206
THA,South-eastern Asia,0.3039828027997696,2008,0.026280721028648202
TJK,Central Asia,0.4199508788093687,2008,0.4386558532714844
TTO,Latin America and the Caribbean,0.19918489028372544,2008,-0.38180202907985716
TUN,Northern Africa,-0.17422699802136268,2008,0.16343816121419508
TUR,Western Asia,0.11970141955784389,2008,-0.9184142218695754
TZA,Sub-Saharan Africa,0.1966062009358823,2008,-0.7686254713270415
UGA,Sub-Saharan Africa,0.1966062009358823,2008,-1.3143039279513928
UKR,Eastern Europe,0.266389516800169,2008,0.3299111260308152
URY,Latin America and the Caribbean,0.19918489028372544,2008,0.5278396606445312
USA,Northern America,0.03483581542968851,2008,0.6983049180772554
VEN,Latin America and the Caribbean,0.19918489028372544,2008,-1.6623906029595261
VNM,South-eastern Asia,0.3039828027997696,2008,0.8896967569986955
YEM,Western Asia,0.11970141955784389,2008,0.051776885986328125
ZAF,Sub-Saharan Africa,0.1966062009358823,2008,-0.3180736965603259
ZMB,Sub-Saharan Africa,0.1966062009358823,2008,1.6773779127332915
ZWE,Sub-Saharan Africa,0.1966062009358823,2008,-1.314003414577904
AFG,Southern Asia,0.2417285253131201,2009,1.3159781561957473
AGO,Sub-Saharan Africa,0.1966062009358823,2009,-0.01846970452202612
ALB,Southern Europe,0.25529253520662787,2009,0.643685234917541
ARE,Western Asia,0.11970141955784389,2009,0.3215285407172317
ARG,Latin America and the Caribbean,0.19918489028372544,2009,1.3328238593207473
ARM,Western Asia,0.11970141955784389,2009,-1.1415888468424455
AUS,Australia and New Zealand,0.0062095399886845015,2009,-0.05713738335502683
AUT,Western Europe,0.15470879310383043,2009,-0.6788715786404111
AZE,Western Asia,0.11970141955784389,2009,0.7074966430664062
BDI,Sub-Saharan Africa,0.1966062009358823,2009,2.219685448540581
BEL,Western Europe,0.15470879310383043,2009,0.0071847703721772405
BEN,Sub-Saharan Africa,0.1966062009358823,2009,0.505748324924042
BFA,Sub-Saharan Africa,0.1966062009358823,2009,0.5806183285183337
BGD,Southern Asia,0.2417285253131201,2009,0.9275656806098098
BGR,Eastern Europe,0.266389516800169,2009,0.5905676947699661
BHR,Western Asia,0.11970141955784389,2009,-0.5408253139919736
BLR,Eastern Europe,0.266389516800169,2009,1.4053467644585496
BLZ,Latin America and the Caribbean,0.19918489028372544,2009,-0.18354119194878393
BOL,Latin America and the Caribbean,0.19918489028372544,2009,0.49455049302842724
BRA,Latin America and the Caribbean,0.19918489028372544,2009,-0.38943693372937815
BWA,Sub-Saharan Africa,0.1966062009358823,2009,0.3744455973307268
CAF,Sub-Saharan Africa,0.1966062009358823,2009,-0.6847026613023601
CAN,Northern America,0.03483581542968851,2009,0.12387932671440183
CHE,Western Europe,0.15470879310383043,2009,-0.0014258490668481727
CHL,Latin America and the Caribbean,0.19918489028372544,2009,1.5064303080240933
CHN,Eastern Asia,0.10904252794053804,2009,-0.3546002705891951
CIV,Sub-Saharan Africa,0.1966062009358823,2009,0.6750392913818359
CMR,Sub-Saharan Africa,0.1966062009358823,2009,0.8510265350341797
COD,Sub-Saharan Africa,0.1966062009358823,2009,0.2077910105387346
COG,Sub-Saharan Africa,0.1966062009358823,2009,0.38174841139051807
COL,Latin America and the Caribbean,0.19918489028372544,2009,-0.07891633775499685
COM,Sub-Saharan Africa,0.1966062009358823,2009,0.42848608228895557
CRI,Latin America and the Caribbean,0.19918489028372544,2009,0.46095021565756156
CYP,Western Asia,0.11970141955784389,2009,-0.20717536078559817
CZE,Eastern Europe,0.266389516800169,2009,0.8544205559624487
DEU,Western Europe,0.15470879310383043,2009,0.27576022677952494
DJI,Sub-Saharan Africa,0.1966062009358823,2009,0.8879564073350679
DNK,Northern Europe,0.19307814704047296,2009,-0.35726250542535354
DOM,Latin America and the Caribbean,0.19918489028372544,2009,0.18648062811957544
DZA,Northern Africa,-0.17422699802136268,2009,-0.11868921915689867
ECU,Latin America and the Caribbean,0.19918489028372544,2009,0.36305491129557055
EGY,Northern Africa,-0.17422699802136268,2009,1.0782708062065964
ESP,Southern Europe,0.25529253520662787,2009,-0.927465226915146
EST,Northern Europe,0.19307814704047296,2009,-0.5904909769694058
ETH,Sub-Saharan Africa,0.1966062009358823,2009,-0.5747248331705705
FIN,Northern Europe,0.19307814704047296,2009,-0.04871707492404198
FRA,Western Europe,0.15470879310383043,2009,-0.7186097039116675
GAB,Sub-Saharan Africa,0.1966062009358823,2009,-0.29741668701171875
GBR,Northern Europe,0.19307814704047296,2009,0.4585613674587705
GEO,Western Asia,0.11970141955784389,2009,0.741926829020187
GHA,Sub-Saharan Africa,0.1966062009358823,2009,-0.9418423970540317
GIN,Sub-Saharan Africa,0.1966062009358823,2009,-0.36094919840494555
GRC,Southern Europe,0.25529253520662787,2009,-0.8378151787651902
GTM,Latin America and the Caribbean,0.19918489028372544,2009,-0.24365149603949732
GUY,Latin America and the Caribbean,0.19918489028372544,2009,0.3905957539876326
HKG,Eastern Asia,0.10904252794053804,2009,0.19687271118164062
HND,Latin America and the Caribbean,0.19918489028372544,2009,-1.3362719217936245
HRV,Southern Europe,0.25529253520662787,2009,0.3072352939181897
HUN,Eastern Europe,0.266389516800169,2009,0.2484478420681384
IDN,South-eastern Asia,0.3039828027997696,2009,1.725022633870438
IND,Southern Asia,0.2417285253131201,2009,0.2932086520724866
IRL,Northern Europe,0.19307814704047296,2009,-1.2777947319878393
IRN,Southern Asia,0.2417285253131201,2009,-0.34367709689669823
IRQ,Western Asia,0.11970141955784389,2009,0.8247273763020857
ISL,Northern Europe,0.19307814704047296,2009,-0.5928090413411553
ISR,Western Asia,0.11970141955784389,2009,0.39673190646701073
ITA,Southern Europe,0.25529253520662787,2009,1.161632113986542
JAM,Latin America and the Caribbean,0.19918489028372544,2009,-0.046045939127608904
JOR,Western Asia,0.11970141955784389,2009,1.2210485670301665
JPN,Eastern Asia,0.10904252794053804,2009,0.5406930711534272
KAZ,Central Asia,0.4199508788093687,2009,0.5576057434082031
KEN,Sub-Saharan Africa,0.1966062009358823,2009,-0.682456546359596
KGZ,Central Asia,0.4199508788093687,2009,0.18240144517687185
KHM,South-eastern Asia,0.3039828027997696,2009,1.795130411783859
KOR,Eastern Asia,0.10904252794053804,2009,0.5396982828776018
KWT,Western Asia,0.11970141955784389,2009,-0.09319941202799953
LAO,South-eastern Asia,0.3039828027997696,2009,-0.039737701416015625
LBN,Western Asia,0.11970141955784389,2009,1.6558969285753022
LBR,Sub-Saharan Africa,0.1966062009358823,2009,0.7134717305501326
LBY,Northern Africa,-0.17422699802136268,2009,-0.03641149732801807
LKA,Southern Asia,0.2417285253131201,2009,0.7073796590169295
LSO,Sub-Saharan Africa,0.1966062009358823,2009,0.031868404812286144
LTU,Northern Europe,0.19307814704047296,2009,-0.7751799689398879
LUX,Western Europe,0.15470879310383043,2009,0.2995402018229072
LVA,Northern Europe,0.19307814704047296,2009,-0.7404463026258696
